"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"1995","Ron Gant","Reds","119","493","29","79","88","23","15.0 %","21.9 %",".278",".302",".276",".386",".554",".402","144","1.0","28.4","-9.8","3.4","1032"
"1995","B.J. Surhoff","Brewers","117","462","13","72","73","7","8.0 %","9.3 %",".171",".331",".320",".378",".492",".379","122","0.0","13.4","5.8","3.4","117"
"1994","Jeff Conine","Marlins","115","496","18","60","82","1","8.1 %","18.5 %",".206",".365",".319",".373",".525",".385","133","-0.7","20.1","-1.6","3.4","131"
"2009","Adam Lind","Blue Jays","151","654","35","93","114","1","8.9 %","16.8 %",".257",".323",".305",".370",".562",".396","140","1.3","34.1","-22.4","3.4","8027"
"2005","Cliff Floyd","Mets","150","626","34","85","98","12","10.1 %","15.7 %",".233",".276",".273",".358",".505",".366","124","0.6","19.6","-6.1","3.4","518"
"2003","Randy Winn","Mariners","157","660","11","103","75","23","6.2 %","16.4 %",".130",".342",".295",".346",".425",".338","109","5.6","13.0","-1.7","3.4","1235"
"1990","Von Hayes","Phillies","129","568","17","70","73","16","15.3 %","14.3 %",".152",".277",".261",".375",".413",".349","115","0.2","10.1","2.5","3.4","1005531"
"1999","Troy O'Leary","Red Sox","157","661","28","84","103","1","8.5 %","13.8 %",".215",".288",".280",".343",".495",".359","108","-0.7","6.5","5.0","3.3","789"
"1990","Vince Coleman","Cardinals","124","539","6","73","39","77","6.5 %","16.3 %",".109",".344",".292",".340",".400",".334","105","8.5","11.7","1.7","3.3","1002433"
"2002","Shannon Stewart","Blue Jays","141","641","10","103","45","14","8.4 %","9.4 %",".139",".325",".303",".371",".442",".358","116","4.7","17.1","-5.9","3.3","1322"
"2002","Cliff Floyd","- - -","146","609","28","86","79","15","12.5 %","17.4 %",".244",".314",".288",".388",".533",".387","139","2.1","31.5","-18.4","3.3","518"
"1997","Moises Alou","Marlins","150","619","23","88","115","9","11.3 %","13.7 %",".201",".307",".292",".373",".493",".373","127","-0.3","21.2","-7.4","3.3","261"
"2012","Desmond Jennings","Rays","132","563","13","85","47","31","8.2 %","21.3 %",".143",".298",".246",".314",".388",".309","98","8.1","7.0","6.0","3.3","1965"
"1996","Tony Phillips","White Sox","153","719","12","119","63","13","17.4 %","18.4 %",".122",".335",".277",".404",".399",".362","112","-1.2","11.0","-3.7","3.3","1010300"
"2003","Geoff Jenkins","Brewers","124","554","28","81","95","0","10.5 %","21.7 %",".242",".339",".296",".375",".538",".386","133","-4.2","19.3","-4.5","3.2","690"
"1998","Rusty Greer","Rangers","155","691","16","107","108","2","11.6 %","13.5 %",".149",".335",".306",".386",".455",".371","117","-1.4","13.8","-4.8","3.2","1252"
"2001","Bobby Higginson","Tigers","147","634","17","84","71","20","12.6 %","10.3 %",".168",".284",".277",".367",".445",".352","118","-1.2","13.4","-2.8","3.2","469"
"1999","David Justice","Indians","133","530","21","75","88","1","17.7 %","17.0 %",".189",".316",".287",".413",".476",".387","125","-1.1","16.9","-2.0","3.2","923"
"2006","Dave Roberts","Padres","129","567","2","80","44","49","9.0 %","10.8 %",".100",".327",".293",".360",".393",".332","104","8.9","11.8","1.9","3.2","670"
"2000","Moises Alou","Astros","126","517","30","82","114","3","10.1 %","8.7 %",".269",".338",".355",".416",".623",".436","154","-0.7","37.2","-19.3","3.2","261"
"2008","Andre Ethier","Dodgers","141","596","20","90","77","6","9.9 %","14.8 %",".206",".330",".305",".375",".510",".383","134","1.0","26.5","-14.3","3.2","6265"
"1995","Jeff Conine","Marlins","133","562","25","72","105","2","11.7 %","16.7 %",".217",".322",".302",".379",".520",".386","134","0.3","24.4","-10.8","3.2","131"
"2003","Jody Gerut","Indians","127","525","22","66","75","4","6.7 %","13.3 %",".215",".287",".279",".336",".494",".354","117","-1.6","9.9","4.0","3.2","1696"
"2009","Johnny Damon","Yankees","143","626","24","107","82","12","11.3 %","15.7 %",".207",".305",".282",".365",".489",".372","122","3.2","20.5","-10.4","3.1","185"
"2006","Matt Murton","Cubs","144","508","13","70","62","5","8.9 %","12.2 %",".147",".319",".297",".365",".444",".353","107","1.3","5.7","9.5","3.1","6307"
"2004","Raul Ibanez","Mariners","123","524","16","67","62","1","6.9 %","13.7 %",".168",".327",".304",".353",".472",".353","117","1.5","12.6","1.6","3.1","607"
"1990","Eric Davis","Reds","127","518","24","84","86","21","11.6 %","19.3 %",".225",".283",".260",".347",".486",".367","125","2.8","17.7","-6.5","3.1","1003048"
"2011","Michael Morse","Nationals","146","575","31","73","95","2","6.3 %","21.9 %",".247",".344",".303",".360",".550",".390","148","0.0","32.1","-20.6","3.1","3035"
"2013","Justin Upton","Braves","149","643","27","94","70","8","11.7 %","25.0 %",".201",".321",".263",".354",".464",".357","128","5.6","25.9","-16.3","3.1","5222"
