"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Moustakas","Royals","149","614","20","69","73","5","6.4 %","20.2 %",".171",".274",".242",".296",".412",".305","90","-1.1","-8.3","18.0","3.1","4892"
"Howie Kendrick","Angels","147","594","8","57","67","14","4.9 %","19.4 %",".113",".347",".287",".325",".400",".316","103","1.6","3.8","6.3","3.1","4229"
"Derek Jeter","Yankees","159","740","15","99","58","9","6.1 %","12.2 %",".113",".347",".316",".362",".429",".347","117","0.8","15.5","-10.6","3.0","826"
"Ben Revere","Twins","124","553","0","70","32","40","5.2 %","9.8 %",".049",".325",".294",".333",".342",".300","87","7.5","-0.9","11.6","3.0","4712"
"Jason Kipnis","Indians","152","672","14","86","76","31","10.0 %","16.2 %",".122",".291",".257",".335",".379",".315","100","2.6","2.7","4.0","3.0","9776"
"Ian Kinsler","Rangers","157","731","19","105","72","21","8.2 %","12.3 %",".166",".270",".256",".326",".423",".327","99","4.6","4.1","0.5","3.0","6195"
"Alberto Callaspo","Angels","138","520","10","55","53","4","10.8 %","11.3 %",".109",".268",".252",".331",".361",".308","98","0.4","-1.0","12.1","2.9","3336"
"Billy Butler","Royals","161","679","29","72","107","2","8.0 %","16.3 %",".197",".341",".313",".373",".510",".377","139","-6.5","24.5","-18.7","2.9","7399"
"Andre Ethier","Dodgers","149","618","20","79","89","2","8.1 %","20.1 %",".176",".333",".284",".351",".460",".350","123","-0.2","16.8","-8.6","2.9","6265"
"Yoenis Cespedes","Athletics","129","540","23","70","82","16","8.0 %","18.9 %",".214",".326",".292",".356",".505",".368","137","1.4","24.6","-14.5","2.9","13110"
"Paul Goldschmidt","Diamondbacks","145","587","20","82","82","18","10.2 %","22.1 %",".204",".340",".286",".359",".490",".363","125","3.2","20.5","-11.5","2.9","9218"
"Shane Victorino","- - -","154","666","11","72","55","39","8.0 %","12.0 %",".128",".278",".255",".321",".383",".310","94","7.0","2.0","4.4","2.9","1677"
"Omar Infante","- - -","149","588","12","69","53","17","3.6 %","11.1 %",".144",".291",".274",".300",".419",".310","91","3.2","-2.8","11.2","2.9","1609"
"Hanley Ramirez","- - -","157","667","24","79","92","21","8.1 %","19.8 %",".180",".290",".257",".322",".437",".328","106","3.0","7.6","-1.7","2.8","8001"
"Asdrubal Cabrera","Indians","143","616","16","70","68","9","8.4 %","16.1 %",".153",".303",".270",".338",".423",".332","112","0.0","8.4","-2.3","2.7","4962"
"Allen Craig","Cardinals","119","514","22","76","92","2","7.2 %","17.3 %",".215",".334",".307",".354",".522",".374","138","-2.5","20.5","-10.6","2.7","3433"
"J.J. Hardy","Orioles","158","713","22","85","68","0","5.3 %","14.9 %",".151",".253",".238",".282",".389",".290","79","0.4","-17.2","19.8","2.7","3797"
"Alejandro De Aza","White Sox","131","585","9","81","50","26","8.0 %","18.6 %",".130",".339",".281",".349",".410",".333","107","2.0","6.5","0.2","2.7","3371"
"Mark Teixeira","Yankees","123","524","24","66","84","2","10.3 %","15.8 %",".224",".250",".251",".332",".475",".345","116","-2.4","7.1","1.4","2.7","1281"
"Neil Walker","Pirates","129","530","14","62","69","7","8.9 %","19.6 %",".146",".326",".280",".342",".426",".334","111","0.3","7.6","0.5","2.6","7539"
"Michael Brantley","Indians","149","609","6","63","60","12","8.7 %","9.2 %",".114",".310",".288",".348",".402",".322","105","0.0","3.6","1.1","2.6","4106"
"Coco Crisp","Athletics","120","508","11","68","46","39","8.9 %","12.6 %",".158",".280",".259",".325",".418",".324","107","5.7","9.7","-1.6","2.6","1572"
"Jhonny Peralta","Tigers","150","585","13","58","63","1","8.4 %","17.9 %",".145",".275",".239",".305",".384",".301","85","-3.5","-13.8","18.0","2.4","1738"
"Brett Lawrie","Blue Jays","125","536","11","73","48","13","6.2 %","16.0 %",".132",".311",".273",".324",".405",".319","97","0.7","-1.2","6.3","2.4","5247"
"Dexter Fowler","Rockies","143","530","13","72","53","12","12.8 %","24.2 %",".174",".390",".300",".389",".474",".375","121","4.5","17.7","-11.9","2.4","4062"
"Ichiro Suzuki","- - -","162","663","9","77","55","29","3.3 %","9.2 %",".107",".300",".283",".307",".390",".300","90","2.3","-5.2","6.1","2.4","1101"
"Norichika Aoki","Brewers","151","588","10","81","50","30","7.3 %","9.4 %",".144",".304",".288",".355",".433",".344","113","0.5","9.5","-5.7","2.3","13075"
"Cody Ross","Red Sox","130","528","22","70","81","2","8.0 %","24.4 %",".214",".317",".267",".326",".481",".345","114","-0.6","8.2","-3.1","2.3","1760"
